dgp,n,method,bias_mean,bias_sd,rmse_mean,rmse_sd,rmse_p90,mae_mean,spearman_mean,gates_rmse_mean,clan_diff_x1_mean,clan_diff_x2_mean,clan_diff_sin_pi_x2_mean,clan_diff_abs_x2_m05_mean,pointwise_cover_rate_mean,pointwise_ci_len_mean,pointwise_se_cv_mean,pointwise_cover_q1_mean,pointwise_cover_q2_mean,pointwise_cover_q3_mean,pointwise_cover_q4_mean,pointwise_cover_q5_mean
DGP4,250,CF,0.2952594707163007,0.36855325053950605,0.5987454650082334,0.2040846686219157,0.9339303025397905,0.49940614533793837,0.3192429143402484,0.4463414362605739,0.30442090458949006,-0.018253642901924334,0.07966174752647964,-0.04093357777907972,0.7722666666666667,1.5624905945092742,0.2281856862496965,0.5076666666666667,0.7303333333333335,0.8466666666666666,0.8820000000000001,0.8946666666666666
DGP4,250,DML-CF,0.057528170572690586,0.3498438484973781,0.5293917419842282,0.14912255441189468,0.7062431723059948,0.43678444100400493,0.2854506746026984,0.34460702634617524,0.19931160471308743,0.013764915686093063,0.1537677962048323,-0.07608641828651042,0.7990666666666667,1.4987751990035387,0.23208940596993305,0.6176666666666666,0.8226666666666667,0.8660000000000002,0.886,0.8029999999999998
DGP4,250,ORF,0.05581989054878752,0.4188545284622664,0.772854123506955,0.21202346001811576,1.0259777752993513,0.6317805031443857,0.20570376361505452,0.6413710243556496,0.263703953602022,-0.05098311913365954,-0.014927418675181823,0.005413734361888979,0.9517333333333333,3.1253525098455412,0.3154286064459336,0.8833333333333331,0.9816666666666668,0.9756666666666667,0.9636666666666667,0.9543333333333333
DGP4,500,CF,0.1379460107102173,0.24342753186890526,0.48051884190620775,0.10628149994701394,0.6345826054657446,0.3916302014069321,0.40906138984555934,0.29204054583911254,0.4031604035883783,0.007396715170037316,0.05976702325360506,-0.03186430677821258,0.8134,1.381755874163826,0.25640908913128707,0.6046666666666667,0.8376666666666666,0.8770000000000001,0.8930000000000002,0.8546666666666666
DGP4,500,DML-CF,-0.02580444005759353,0.25162812644006427,0.44219090564460534,0.10065595290165126,0.5273656312006235,0.36150463184873005,0.42479628478513914,0.23332977155489243,0.30782003420155835,0.014498393131764035,0.17836645889414673,-0.08673651712620387,0.8033333333333332,1.2630742546785483,0.26745470904399055,0.6786666666666666,0.8863333333333332,0.9113333333333332,0.8586666666666666,0.6816666666666666
DGP4,500,ORF,-0.08520094099161958,0.23887793753943712,0.5434218198956347,0.1299846604815208,0.6757108674558533,0.4427368544382909,0.35317497429989714,0.3660041316669054,0.375894013055404,-0.010468100232783847,0.02988021364466402,-0.016233299718741614,0.9488000000000001,2.141663254360694,0.2767670980200779,0.9016666666666667,0.982,0.991,0.9730000000000001,0.8963333333333332
DGP4,1000,CF,0.10927894327383651,0.11030289800794973,0.405879698502071,0.05339737947715359,0.47609674044589867,0.32307410242892515,0.5274565706262825,0.2009035625091912,0.4864263535384368,0.032928403139167776,0.10605759554458047,-0.0542418299098212,0.8442666666666667,1.2553593401078513,0.2731659226849944,0.6353333333333334,0.8500000000000002,0.9153333333333332,0.9336666666666668,0.887
DGP4,1000,DML-CF,0.00496735338546266,0.104581302746895,0.3560772229432393,0.048117112895639795,0.4101069868133199,0.28736840347575526,0.5596447345789383,0.11222776298364806,0.37220011449387286,0.01093302135611693,0.270753875213207,-0.1275090481212164,0.8538666666666666,1.149772468389936,0.2871676025358688,0.6999999999999998,0.9293333333333335,0.9563333333333333,0.9276666666666669,0.7560000000000001
DGP4,1000,DML-CF_misspec,0.0065328753232198064,0.1155869785864852,0.37231239143338507,0.04004320649422692,0.4162640134158877,0.29922515337359845,0.5261026452105808,0.12719904804343182,0.3696053683390187,0.005425562918406057,,,0.8489333333333335,1.1632466277779525,0.2817540715115398,0.6933333333333334,0.9266666666666669,0.9516666666666665,0.9310000000000002,0.7419999999999999
DGP4,1000,ORF,-0.037731622297562946,0.12782956123917627,0.4456690823826701,0.054108959997073214,0.5012848861191895,0.3554155503383836,0.4566923227692911,0.2435021399189127,0.4399571861419863,0.015163339610847265,0.08330180616849364,-0.04261689266802262,0.9630666666666666,1.8752484953038582,0.25039203520917785,0.888,0.995,1.0,0.9953333333333333,0.9369999999999998
DGP4,1000,ORF_misspec,-0.18316664786497538,0.1331156566642737,0.4736882227104145,0.07602390651333821,0.5470605136805513,0.3909179382078594,0.44971212844851377,0.2845080386947282,0.46644647493974856,0.05623103605099896,,,0.9403999999999999,1.8278196017482857,0.24715419107732256,0.9436666666666668,0.9986666666666667,0.9906666666666666,0.9536666666666664,0.8153333333333332
