dgp,n,rep,method,spearman,gates_rmse,bias,rmse,mae,abs_err_p90,clan_diff_x1,clan_diff_x2,clan_diff_x3,clan_diff_x4,clan_diff_x5,clan_diff_sin_pi_x2,clan_diff_abs_x2_m05,top10_true,bot10_true,top10_est,bot10_est,top10_err,bot10_err,topbot_gap_true,topbot_gap_est,topbot_gap_err,pointwise_cover_rate,pointwise_ci_len,pointwise_se_cv,pointwise_cover_q1,pointwise_cover_q2,pointwise_cover_q3,pointwise_cover_q4,pointwise_cover_q5,main_n_estimators,main_subsample,main_min_leaf,main_cv,n_jobs,nuisance_type,nuis_n_estimators,nuis_min_leaf,orf_global_res_cv,orf_subsample_ratio,z_sd,z_p975,gates_hat_q1,gates_hat_q2,gates_hat_q3,gates_hat_q4,gates_hat_q5,gates_true_q1,gates_true_q2,gates_true_q3,gates_true_q4,gates_true_q5,cf_honest,cf_inference,cf_max_samples,dml_cv,dml_inference,dml_max_samples
DGP4,250,0,ORF,-0.13999246396985587,0.4727933846132554,-0.014837965192055106,0.6298371782945377,0.5044300096178743,1.0364037404528867,-0.1656218787686014,0.5362583297494865,-0.06974238574534253,0.011226851351593625,0.610358731050576,-0.035560666380039296,0.015386871962748183,1.8341463417752732,1.973012178645122,2.857881150140802,1.4375491323195166,1.0237348083655287,-0.5354630463256054,-0.13886583686984877,1.4203320178212853,1.559197854691134,0.986,2.3777868850653827,0.24588185012862376,0.95,1.0,1.0,1.0,0.98,300,0.5,10,5,1,rf,200.0,5.0,5.0,0.5,0.959776390081603,1.8355106459912227,1.5633885564051746,1.8887084822418134,2.1293768365769976,2.3677169191312317,2.733849701768286,2.1445428723739304,2.225408097712831,2.2446938850154012,2.199225139756326,1.9433603272252895,,,,,,
DGP4,250,0,CF,0.43495297181188725,0.23461548540959823,0.2175159374570838,0.4363108626022082,0.33066870896488815,0.7374890176691717,0.3061708908378552,0.5592564526402994,0.1257221464196951,0.047309547969279664,0.03833909233751731,0.2850115806446246,-0.1463022455668334,2.4988959986040804,1.7736517453253742,2.820933846754769,1.9568791996890502,0.3220378481506887,0.18322745436367605,0.7252442532787062,0.8640546470657189,0.13881039378701265,0.902,1.5637373184522598,0.18480707499716464,0.64,0.95,0.94,0.98,1.0,300,0.5,10,5,1,rf,200.0,5.0,,,1.022788133196842,2.8869617595458035,2.0102918369783134,2.235399450567191,2.356518235834178,2.496706760317335,2.7458937256721807,1.8873615173436198,2.1210893792870085,2.1180761611839687,2.1521592754430823,2.4785439888260985,True,True,0.5,,,
DGP4,250,0,DML-CF,0.2292709970839883,0.18766523683297937,0.1733116716705771,0.44420043428908507,0.3557987257470794,0.6981739678171895,0.10766974357370718,0.5613273599819874,0.278692420223164,0.01414992811309812,0.07069143110951459,0.1949501900401383,-0.09753709297417007,2.276964244361727,1.9063606729169758,2.5806613708645374,2.070074823650157,0.30369712650281055,0.16371415073318119,0.3706035714447511,0.5105865472143805,0.13998297576962937,0.872,1.3574253438117134,0.19165474533986712,0.51,0.95,0.99,1.0,0.91,300,0.5,10,5,1,rf,200.0,5.0,,,1.2403103750899063,3.0599192326841442,2.116650462607764,2.2422119474011577,2.320994673030468,2.408524458947659,2.5354071384496155,1.9682873633157767,2.182736515738158,2.1618149093155647,2.173484236784657,2.270907296929623,,,,5.0,True,0.5
DGP4,250,1,ORF,0.32180000720002877,0.647371507269196,-0.1189428603339176,0.7774206523027912,0.6300510517464422,1.3317911375052274,0.4384965588831452,0.046649358866333646,-0.6046198342710138,-0.1947722710827321,0.25119164996790744,0.007079670476535238,-0.008205772562852737,2.3436484818194945,1.8483852158128264,3.4011124871590503,0.6068853406352309,1.0574640053395559,-1.2414998751775954,0.49526326600666803,2.7942271465238195,2.2989638805171513,0.994,3.3744236201064837,0.44193618280412306,0.99,1.0,1.0,1.0,0.98,300,0.5,10,5,1,rf,200.0,5.0,5.0,0.5,0.8283975048797962,1.7176650515949032,0.8668049689363929,1.6090550402748238,2.045365107846371,2.4879130117392605,3.153377891617343,1.931172472185114,2.1284376543972185,2.1223306708229615,2.1985408231336914,2.376748701544794,,,,,,
DGP4,250,1,CF,0.4051091404365617,0.23320816215765555,0.1596415047036374,0.4377436568894093,0.3411005696000089,0.734343568870525,0.45488450950999,0.11302572984533649,-0.604586093515412,-0.09513889580844215,0.07023658177503556,0.08217952592184596,-0.044077955712503475,2.534396600555049,1.708325170165803,2.811534516680278,1.8005915612223518,0.2771379161252292,0.09226639105654866,0.8260714303892458,1.0109429554579263,0.18487152506868054,0.886,1.589990378467108,0.26386618441606075,0.65,0.83,0.96,0.99,1.0,300,0.5,10,5,1,rf,200.0,5.0,,,1.1597910280784125,3.390295413389853,1.8627416349334742,2.0878062587880595,2.3086690937118814,2.5450546064405497,2.7511662517280007,1.8658789901498511,2.1668072534659726,2.0803076588875355,2.2412933939987325,2.402943025581687,True,True,0.5,,,
DGP4,250,1,DML-CF,0.5657626150504602,0.046312954163361286,-0.025093931607366032,0.3443232740278789,0.2802748759447,0.5522330618935217,0.2507855804436796,0.24712350144513517,-0.23228699470681602,-0.055144235919379725,0.3187010282779473,0.41566645221367465,-0.20366375736557915,2.444616073322019,1.655576463422494,2.5761299721231854,1.673450744476773,0.13151389880116637,0.017874281054278907,0.7890396098995249,0.9026792276464124,0.11363961774688747,0.974,1.5381274639292826,0.2261962614468709,0.87,1.0,1.0,1.0,1.0,300,0.5,10,5,1,rf,200.0,5.0,,,0.8668726545836379,1.9593048175508176,1.7575893135019527,1.9964932040279377,2.1271718266672908,2.2657113882351756,2.4847949316145916,1.7890327406823354,2.0653995874360356,2.1180050230190703,2.3293081976066476,2.4554847733396894,,,,5.0,True,0.5
DGP4,250,2,ORF,-0.07535425341701367,0.6562898115238925,0.10586768761403595,0.7944162422685428,0.6319563967681904,1.319574672073271,-0.07122477829507029,0.302844058520793,-0.3355154496268565,-0.65799511006177,0.16212213198052522,-0.008122557676042974,0.00409194289970366,2.0127322283115188,2.1382115274330373,3.323961164113722,1.1766433896150523,1.3112289358022031,-0.961568137817985,-0.12547929912151856,2.14731777449867,2.2727970736201883,0.976,2.8264943304366184,0.38353067141084796,0.91,1.0,1.0,1.0,0.97,300,0.5,10,5,1,rf,200.0,5.0,5.0,0.5,0.9958383595727364,1.9530707449787608,1.3629535875821082,1.8864008030403019,2.2521132128745935,2.6357398859009935,3.149361270755961,2.1623439462037353,2.2192447721060224,2.166053005439065,2.126591988102335,2.082996610232622,,,,,,
DGP4,250,2,CF,0.39401668006672025,0.08453498084836426,0.07640510610879045,0.39172182083290435,0.3079975307368816,0.6418254387363411,0.44300114778350125,0.07214951482153653,-0.06457711880802325,-0.4536350766117923,0.019339580360396347,0.001004040282972407,-0.008673028557970835,2.4473284379302425,1.947082559320679,2.5007727277466385,1.9651642063208181,0.05344428981639604,0.018081647000139034,0.5002458786095634,0.5356085214258204,0.035362642816257006,0.88,1.3101111302078898,0.25304917392202725,0.58,0.97,1.0,0.97,0.88,300,0.5,10,5,1,rf,200.0,5.0,,,1.2380019263874142,2.8508676085848386,2.0069535206877895,2.1315574123029166,2.220880643864555,2.3205532641601314,2.459311011612338,1.955046721117048,2.0311993854559294,2.0862890483474827,2.285643257979797,2.3990519091835214,True,True,0.5,,,
DGP4,250,2,DML-CF,0.18355196620786482,0.29775827368178637,-0.2594468136598681,0.5058513028818237,0.4120754696354223,0.8452614167406929,0.15906364209589108,0.5067127966316627,-0.01582706599803757,-0.40824326229404884,0.14018233056281237,0.12530378672512144,-0.06937023941941814,2.321853425585955,2.0642455580906813,2.206089028584601,1.4952849430728308,-0.11576439700135399,-0.5689606150178506,0.25760786749527353,0.7108040855117701,0.45319621801649657,0.806,1.3762268130149082,0.23436250806548273,0.88,0.99,0.92,0.81,0.43,300,0.5,10,5,1,rf,200.0,5.0,,,1.2689358924232839,2.9172683651449702,1.5498715273696682,1.7719743276698834,1.9353253598113807,2.0386341724671366,2.16419086646637,2.033308014927735,2.1454489012993663,2.1307551275136296,2.130042834594299,2.317675443748748,,,,5.0,True,0.5
DGP4,250,3,ORF,0.3515246060984244,0.5140647865909748,-0.02215215050116818,0.6529567389969332,0.536627259140796,1.0759179355251514,0.43809663802001814,-0.22293690129773425,-0.6513190877433083,-0.0246410883487036,-0.04234633564127177,-0.021094488010025003,0.006321076005796233,2.436993233224433,1.8138262151276021,3.3038265214837215,0.9379596942305339,0.8668332882592886,-0.8758665208970682,0.6231670180968307,2.3658668272531873,1.7426998091563566,0.98,2.816859944241451,0.4420447841030574,0.95,1.0,1.0,1.0,0.95,300,0.5,10,5,1,rf,200.0,5.0,5.0,0.5,0.8913501710792102,1.8443727838099935,1.1630378722762527,1.7335370156137886,2.1300625320331323,2.5199109508564677,3.099921198798296,1.9204011226740583,2.0424710240822623,2.1951268097002172,2.261828092943189,2.3374032726840515,,,,,,
