dgp,n,base,rival,metric,delta_mean,delta_sd,delta_p90,t_stat,p_value,n_rep_used
DGP5,250,ORF,CF,rmse,0.026651261510752974,0.11960235294052907,0.17717490272335687,1.2205025032130477,0.2321061087892915,30
DGP5,250,ORF,CF,bias,-0.15106527236977998,0.1365813169176479,0.00033445090170108557,-6.0580655685491624,1.3583959132525904e-06,30
DGP5,250,ORF,CF,mae,0.00939733632116652,0.10632304664566455,0.1356337231440223,0.4841032349946677,0.6319485318643208,30
DGP5,250,ORF,CF,spearman,-0.048069623447009754,0.4529546676858634,0.3991930296199328,-0.5812682586365627,0.5655505621065806,30
DGP5,250,ORF,CF,gates_rmse,0.019564746136061725,0.11943588442277378,0.17241509063969904,0.8972222077454413,0.37698884091502816,30
DGP5,250,ORF,CF,pointwise_cover_rate,0.13566666666666669,0.13751397003222252,0.3646,5.403646888927404,8.264597940502591e-06,30
DGP5,250,ORF,DML-CF,rmse,0.1223104941832872,0.07877926194996128,0.1921382768818488,8.50378830996699,2.2766725177845285e-09,30
DGP5,250,ORF,DML-CF,bias,0.032061280379957355,0.08617041800670915,0.13620147426702345,2.037901972952387,0.05077329974887452,30
DGP5,250,ORF,DML-CF,mae,0.09345963863552993,0.06774866102908203,0.1538418213811545,7.555861845739963,2.4957984454654357e-08,30
DGP5,250,ORF,DML-CF,spearman,0.0574571994287977,0.31926148585086606,0.4426466249865,0.9857313084399427,0.33241827774308674,30
DGP5,250,ORF,DML-CF,gates_rmse,0.11914976640997019,0.07734311781063744,0.1852336094954951,8.437856739108115,2.6791875653942954e-09,30
DGP5,250,ORF,DML-CF,pointwise_cover_rate,0.06926666666666667,0.08398108708813994,0.12580000000000005,4.517554741427294,9.672584951036842e-05,30
DGP5,500,ORF,CF,rmse,0.0231510256295495,0.06955827148563871,0.10543746380932814,1.8229807463376277,0.07863138479204933,30
DGP5,500,ORF,CF,bias,-0.06965899302817523,0.09048940981058774,0.03741603070006914,-4.2163830988057205,0.00022167015061300252,30
DGP5,500,ORF,CF,mae,0.012919883469203367,0.059234594217168354,0.07924845883991456,1.1946585791533546,0.24190004506475127,30
DGP5,500,ORF,CF,spearman,-0.01713912083999496,0.3638883249728378,0.37399423517694086,-0.2579770345908419,0.7982466198225957,30
DGP5,500,ORF,CF,gates_rmse,0.019709039362659643,0.07094199691578373,0.1079790361488193,1.521677696569626,0.13892016825370587,30
DGP5,500,ORF,CF,pointwise_cover_rate,0.09326666666666669,0.08600318090882908,0.2344,5.939810208973818,1.8790103514543661e-06,30
DGP5,500,ORF,DML-CF,rmse,0.07640523660365471,0.050360462753453315,0.14129980970764708,8.309866373591143,3.680943995613516e-09,30
DGP5,500,ORF,DML-CF,bias,0.010102861410107836,0.07087899403052503,0.10109720638477862,0.7807059292180989,0.44130201288050463,30
DGP5,500,ORF,DML-CF,mae,0.057653996983028866,0.043466769204596356,0.11316775162181782,7.264950962723144,5.322426746595697e-08,30
DGP5,500,ORF,DML-CF,spearman,0.10355936463745856,0.22274160804630172,0.3607059388237553,2.546529162214183,0.0164499096032703,30
DGP5,500,ORF,DML-CF,gates_rmse,0.07562172865807804,0.051344471564042884,0.13950283922780496,8.067027541981933,6.76463432413517e-09,30
DGP5,500,ORF,DML-CF,pointwise_cover_rate,0.07146666666666666,0.06930777601461435,0.15600000000000006,5.6478374713368265,4.20216359774407e-06,30
DGP5,1000,ORF,CF,rmse,0.03250184081855763,0.04772310576410806,0.08956589307213762,3.7302667317504796,0.0008277708469919364,30
DGP5,1000,ORF,CF,bias,-0.03189376332829486,0.055486571422151604,0.04190308991310634,-3.148317362363484,0.003785368953252555,30
DGP5,1000,ORF,CF,mae,0.023154836469498948,0.041337492893901144,0.06374771089166428,3.0680201826073965,0.004637394014859316,30
DGP5,1000,ORF,CF,spearman,-0.1198761851047404,0.1732229941101302,0.10094977019908084,-3.7904258050052566,0.0007045548510230616,30
DGP5,1000,ORF,CF,gates_rmse,0.03064655198580513,0.049639013210939935,0.08622296646101188,3.3815756491873197,0.0020778212305176814,30
DGP5,1000,ORF,CF,pointwise_cover_rate,0.05786666666666667,0.05068342130719174,0.11660000000000002,6.253500226210708,7.964557848864628e-07,30
DGP5,1000,ORF,DML-CF,rmse,0.06750511930715024,0.03567140115667529,0.11001932090698134,10.365187627255466,2.9068887160985687e-11,30
DGP5,1000,ORF,DML-CF,bias,-0.0017775398180525088,0.04840677284583071,0.06556110926481291,-0.20112860204743932,0.8420020753009226,30
DGP5,1000,ORF,DML-CF,mae,0.050923688377315625,0.030387018317612067,0.08450419091092698,9.178937052686544,4.4420459543223436e-10,30
DGP5,1000,ORF,DML-CF,spearman,-0.04883265933063729,0.17870441533285897,0.18781453685814745,-1.4967033135995018,0.14527586315819138,30
DGP5,1000,ORF,DML-CF,gates_rmse,0.06809520078598831,0.036802339723187256,0.11027939736657962,10.134485418281768,4.870025375088815e-11,30
DGP5,1000,ORF,DML-CF,pointwise_cover_rate,0.056000000000000015,0.05281326897012099,0.13140000000000002,5.807719124078874,2.70269684125345e-06,30
