dgp,n,rep,method,spearman,gates_rmse,bias,rmse,mae,abs_err_p90,clan_diff_x1,clan_diff_x2,clan_diff_x3,clan_diff_x4,clan_diff_x5,clan_diff_sin_pi_x2,clan_diff_abs_x2_m05,top10_true,bot10_true,top10_est,bot10_est,top10_err,bot10_err,topbot_gap_true,topbot_gap_est,topbot_gap_err,pointwise_cover_rate,pointwise_ci_len,pointwise_se_cv,pointwise_cover_q1,pointwise_cover_q2,pointwise_cover_q3,pointwise_cover_q4,pointwise_cover_q5,main_n_estimators,main_subsample,main_min_leaf,main_cv,n_jobs,nuisance_type,nuis_n_estimators,nuis_min_leaf,orf_global_res_cv,orf_subsample_ratio,z_sd,z_p975,gates_hat_q1,gates_hat_q2,gates_hat_q3,gates_hat_q4,gates_hat_q5,gates_true_q1,gates_true_q2,gates_true_q3,gates_true_q4,gates_true_q5,cf_honest,cf_inference,cf_max_samples,dml_cv,dml_inference,dml_max_samples
DGP5,250,0,ORF,0.5655162780651122,0.4838757329613274,0.2917180462635213,0.5015478522668911,0.40372459464013744,0.8122955132835746,0.4382771948406912,-0.44535573155140074,-0.2359421011289331,0.2847704336254283,0.3284176710185403,-0.05242744158040169,0.027940341506052346,1.161095110033738,1.0474321137686595,2.1722134622140143,0.6361322587013448,1.0111183521802762,-0.4112998550673147,0.11366299626507859,1.5360812035126696,1.422418207247591,0.99,1.7219873641200043,0.48570105094018834,0.95,1.0,1.0,1.0,1.0,300,0.5,10,5,1,rf,200,5,5.0,0.5,0.7946820354097427,1.8817137398817856,0.7853837054262324,1.1466232284473403,1.382534723609113,1.6308865925862543,2.0122568720773026,1.0579545905221897,1.071757716122124,1.105883011801587,1.1178895428924076,1.1456100294903278,,,,,,
DGP5,250,0,CF,0.8585973934212672,0.3274631163103862,0.2654381150086599,0.33056882798311193,0.2965584998272184,0.478454903215702,0.6334520485828328,-0.01033338977557502,-0.1985448919154692,0.03069262845514409,-0.08650962628424175,0.03698670376208746,-0.017755030666902927,1.1753450581518565,1.0332828011280788,1.667568959478682,0.9217235377623518,0.4922239013268255,-0.11155926336572697,0.14206225702377773,0.7458454217163302,0.6037831646925524,0.692,0.7904030933959428,0.20944375101306914,0.8,0.82,0.84,0.23,0.77,300,0.5,10,5,1,rf,200,5,,,1.0512910396765545,2.9494993258302404,0.9685607296447651,1.26575367750485,1.4033432785130444,1.548080975333514,1.6405468048757614,1.0441159082105482,1.0602277473925186,1.0779556123439322,1.1459893049545216,1.170806317927115,True,True,0.5,,,
DGP5,250,0,DML-CF,0.32777209508838034,0.16018006616655567,0.08870094610854692,0.171172588309324,0.1449038461448973,0.2735180759819545,0.33143619263198776,-0.6420206003097035,-0.002222293528568897,0.06979377578690887,0.20631817095568294,0.01796711779718846,-0.005495335284991243,1.1498795402216744,1.0700529762000326,1.4280869878912312,0.936754662615058,0.27820744766955685,-0.13329831358497457,0.07982656402164179,0.4913323252761732,0.4115057612545314,0.984,0.7297880824117018,0.189601276329353,0.99,0.99,0.98,0.97,0.99,300,0.5,10,5,1,rf,200,5,,,0.8452581471441042,1.8788372951201728,0.9736266661455113,1.0773748111044537,1.2007547354657218,1.295058931616233,1.3957844770394507,1.0726570388900287,1.1025424560142536,1.0875324218033307,1.097418696704596,1.1389442774164265,,,,5.0,True,0.5
DGP5,250,1,ORF,0.4994289417157668,0.30161926260873195,0.10467807047243849,0.31604557750651796,0.25850801766290343,0.4992381540500227,0.41699594266106527,0.2359843695391423,0.1538004228133602,0.2242003348067697,0.5670679255105111,-0.03735973999855735,0.014956636639653131,1.1480069887008775,1.0403972991137846,1.7454282449428842,0.6426585974525466,0.5974212562420067,-0.39773870166123804,0.10760968958709283,1.1027696474903377,0.9951599579032449,1.0,1.4018077400333682,0.3993600197444885,1.0,1.0,1.0,1.0,1.0,300,0.5,10,5,1,rf,200,5,5.0,0.5,0.6723624978806768,1.1924082508429477,0.7403290246992175,1.0245888733493949,1.2089840557517753,1.401002887796215,1.647580401594226,1.0518408353484048,1.0882566036998877,1.1072433309090883,1.1165140969906369,1.135240023880618,,,,,,
DGP5,250,1,CF,0.7471028822029383,0.26725049323549277,0.21796036035579885,0.2730221530640678,0.22127165592127745,0.48658341370162245,0.5668402033903146,-0.01292315054009785,0.08601102298687124,-0.026540982088971377,-0.018158801223459253,0.04726692434477375,-0.02390840489993465,1.1552117912901467,1.024992153419385,1.6763450348648115,1.0150512209344695,0.5211332435746647,-0.009940932484915566,0.13021963787076163,0.6612938139303419,0.5310741760595803,0.834,0.8636985681575239,0.17931192964841702,1.0,1.0,0.89,0.66,0.62,300,0.5,10,5,1,rf,200,5,,,0.7968860305009206,2.802364619881364,1.0651485973163866,1.2044871417054888,1.2848429807141113,1.4025994581789427,1.6318185146927007,1.0340001159739305,1.0614120532008162,1.1327047901330205,1.1236097748688751,1.1473681566519933,True,True,0.5,,,
DGP5,250,1,DML-CF,0.37007159228636916,0.2032389189323066,0.18061594866415712,0.21117106404760008,0.18472460625497622,0.32547080620634017,0.279944829313799,0.027884703199442362,0.0429646799997232,0.42710101451912413,0.5306769308823336,-0.023467248934869955,0.008803020932818623,1.145160645912152,1.0684767533748458,1.4737347123788564,1.0715665411550703,0.3285740664667045,0.0030897877802245066,0.07668389253730612,0.4021681712237861,0.32548427868648,0.904,0.6800684634698186,0.2507701829577925,0.88,0.86,0.87,0.93,0.98,300,0.5,10,5,1,rf,200,5,,,0.7111905518279584,2.5495421254167336,1.1071841639208715,1.2233262756170065,1.2858209932326785,1.3446835322353152,1.4411596691435493,1.0766894889669714,1.088289746841105,1.0801037115039762,1.1213334886868516,1.1326784548297313,,,,5.0,True,0.5
DGP5,250,2,ORF,0.7774296377185509,0.12898189507236452,-0.07274954621927343,0.1372193458372178,0.11215235080592612,0.2301509215085521,0.6178102784452478,-0.49599781038678786,0.009591018586834754,-0.15342085641620062,-0.05781654513181128,0.013539774242017022,-0.0070121794462489895,1.1753965594051257,1.0334196853024487,1.2938718425551488,0.7688879908809207,0.11847528315002309,-0.2645316944215279,0.141976874102677,0.524983851674228,0.383006977571551,1.0,1.1661877667159772,0.14380617659496678,1.0,1.0,1.0,1.0,1.0,300,0.5,10,5,1,rf,200,5,5.0,0.5,0.3512472189441862,0.7787573486695747,0.8096399356114051,0.9329231165564557,1.0312005215155744,1.116055424404606,1.2455281616442277,1.0387424318089185,1.069110565864117,1.1027378375023895,1.1261995681552426,1.1623044874979682,,,,,,
DGP5,250,2,CF,-0.862730341271139,0.25004157911072106,0.11309475138547305,0.25477420659878813,0.20072889181752987,0.4535092646564462,-0.6143217467327642,-0.002415158023201136,-0.05114979484072052,-0.0066364229314231915,0.05053165677041921,0.023620257164823744,-0.005611676694060375,1.0482601521457964,1.1705330811074015,1.514456751829293,1.0009204662780313,0.4661965996834967,-0.16961261482937018,-0.12227292896160513,0.5135362855512617,0.6358092145128669,0.988,1.098154824007465,0.20103222383215766,1.0,0.94,1.0,1.0,1.0,300,0.5,10,5,1,rf,200,5,,,0.81583648161242,1.8594683528914935,1.0240430191893464,1.07511569418503,1.1362424409187168,1.3415307873223368,1.4876367061405709,1.1628084551433409,1.1413192376159755,1.109872394148801,1.0451506981237302,1.039944105796788,True,True,0.5,,,
DGP5,250,2,DML-CF,0.6128658754635018,0.11696461011108177,-0.10861027838129615,0.1255523274417665,0.10993149856596904,0.19721365514046854,0.5193575372905812,-0.46221946276145237,-0.021592987392220653,-0.10119159414870121,-0.1741067839173182,0.22864930046479304,-0.11743486807925788,1.1702742232102539,1.0639224131307443,1.1248529916630998,0.8547766457427766,-0.04542123154715405,-0.20914576738796775,0.10635181007950956,0.27007634592032326,0.1637245358408137,0.998,0.6979291072152658,0.21403464467685912,1.0,1.0,0.99,1.0,1.0,300,0.5,10,5,1,rf,200,5,,,0.3738528008266479,1.41363861817915,0.8761418982000465,0.9497242925166778,0.9916814253624652,1.035532184589589,1.1029636982533766,1.0606191431430863,1.0716669334880602,1.0931148095729082,1.1092033540233783,1.1644906506012027,,,,5.0,True,0.5
DGP5,250,3,ORF,-0.7844986259945039,0.31143259949445984,-0.1305887117015134,0.3232769110302897,0.2651365655517526,0.5238358851909143,-0.6146972177318452,0.3418036877798951,-0.15505073208715925,0.30252125247065154,-0.0945783205635446,-0.018661140174276225,0.008780790007851424,1.0294605263117869,1.1685839920655503,1.4015568753780676,0.5355765737057606,0.37209634906628075,-0.6330074183597897,-0.13912346575376344,0.865980301672307,1.0051037674260703,1.0,1.3431416740196647,0.279930740109312,1.0,1.0,1.0,1.0,1.0,300,0.5,10,5,1,rf,200,5,5.0,0.5,0.7236231670928119,1.3254818556862251,0.6202825391701164,0.8284395307723742,0.9666301509164361,1.107683763585841,1.3231153478763016,1.1608240203942843,1.1304908251431558,1.1027575944415595,1.067137874001721,1.0378845768479152,,,,,,
DGP5,250,3,CF,-0.6287675656127983,0.234155645654378,0.05624355871858071,0.24366550034370146,0.19974412264904962,0.40760251731106906,-0.5349998082356243,-0.2393066252220939,0.30398422039971873,0.0999026591224133,0.04370851300106593,-0.05531926381359065,0.031081394144480246,1.0665339951974124,1.1675774808553288,1.4984354624553242,0.9165214162956559,0.4319014672579118,-0.2510560645596729,-0.10104348565791632,0.5819140461596684,0.6829575318175847,0.942,0.8157817425119467,0.23797487766644507,1.0,0.86,0.87,1.0,0.98,300,0.5,10,5,1,rf,200,5,,,1.1752870722249316,2.2900992709976213,0.9410148113957011,1.0055318847087562,1.0725366686772142,1.2959013837090398,1.4653279359308282,1.1686616340850005,1.1211561778753236,1.0661073300582924,1.0815080763721439,1.0616616724378753,True,True,0.5,,,
DGP5,250,3,DML-CF,-0.5103883455533822,0.13855836812079944,-0.07406805348305762,0.15050350553535322,0.12349488149270184,0.2618840577224834,-0.462330633306141,-0.021105973520005816,0.056342301975593756,0.5097253819755917,0.06308236157137959,0.05466542073223446,-0.024643156997137095,1.0421638642188709,1.1698472286813435,1.1943608383172373,0.8776174697761137,0.1521969740983664,-0.29222975890522984,-0.12768336446247264,0.3167433685411236,0.44442673300359625,0.932,0.6121070737897384,0.2632542060902225,0.92,0.99,1.0,0.92,0.83,300,0.5,10,5,1,rf,200,5,,,0.9940664471633658,2.3955739059477597,0.9029009569882517,0.974407998675624,1.0158966366271762,1.0699653611362985,1.1655836699859976,1.154465873602498,1.0982143086094824,1.0951166051008723,1.0892983565745133,1.0619997469412696,,,,5.0,True,0.5
DGP5,250,4,ORF,-0.631444925779703,0.3269316399279992,0.0027429273693960654,0.3425921732980628,0.2818270207466663,0.5545646399614552,-0.5183461181624602,-0.18022475073637995,0.07020539973085094,-0.11758691082823935,-0.5537019862620871,0.030992857271799457,-0.010205373624971592,1.0355181565546352,1.1659211019904436,1.6352361366190897,0.6032433678359621,0.5997179800644545,-0.5626777341544815,-0.13040294543580844,1.0319927687831276,1.162395714218936,1.0,1.5115259871315898,0.3317021861872198,1.0,1.0,1.0,1.0,1.0,300,0.5,10,5,1,rf,200,5,5.0,0.5,0.7203759871503722,1.0644505214418338,0.6875037291750732,0.9224755187197351,1.0909647810910246,1.271082752023856,1.5407827466659274,1.1500806526758895,1.1169723669552754,1.1091765276644443,1.0764539144896286,1.0464114290433975,,,,,,
DGP5,250,4,CF,0.22715867444193152,0.3994601130828467,0.3759878428275582,0.40458833354241036,0.3761000879474389,0.5526127770374926,0.20276419782698368,0.06549951153010658,-0.5242399035086355,0.10000080155324342,-0.19950030680396624,-0.024160847673426522,0.009057873961351992,1.130498991069014,1.10529266781904,1.6857724813757713,1.2179743741267077,0.5552734903067573,0.11268170630766772,0.02520632324997396,0.46779810724906357,0.4425917839990896,0.636,0.9533574948624657,0.17423891394679317,0.53,0.56,0.63,0.72,0.74,300,0.5,10,5,1,rf,200,5,,,0.7352223400181495,2.8970128401065396,1.2578050676175312,1.3764989148713684,1.4869358687298122,1.5945192641255277,1.6632749896221881,1.0892779315890286,1.0985596915254299,1.072989507108274,1.1084369894514774,1.1298307711544253,True,True,0.5,,,
DGP5,250,4,DML-CF,-0.0700129840519362,0.1652468816452891,0.003910360265617176,0.18088912831141102,0.148748595975328,0.29746500757708494,-0.05604646180028522,0.16592439330026731,-0.04259564881990913,-0.05203958480696852,-0.6415407426884243,0.26376523463319457,-0.13588022565192268,1.0900266011816004,1.1175663181386255,1.3221111996625654,0.7891844110320592,0.23208459848096497,-0.32838190710656634,-0.027539716957025062,0.5329267886305062,0.5604665055875313,0.964,0.7327310154370581,0.21851392703074968,0.95,0.94,1.0,0.96,0.97,300,0.5,10,5,1,rf,200,5,,,0.975639807629933,2.034412879422779,0.8372444645335477,1.0199646772408644,1.1369790603156078,1.2215511130152747,1.3029073770514272,1.1061546566997882,1.0923943354718313,1.105413999436265,1.1001865348810203,1.0949453643397309,,,,5.0,True,0.5
DGP5,250,5,ORF,0.192061536246145,0.2190022219571032,-0.03948761103042785,0.2355782517517467,0.19035248049034217,0.39353526815317685,0.14461118690392677,-0.387334917798519,-0.3726786962140018,-0.09719931828482498,0.521309768489972,-0.029233916070974586,0.0156886474575762,1.1204118008405097,1.0883548605658018,1.4894921870128592,0.6644797910672896,0.3690803861723495,-0.42387506949851217,0.03205694027470796,0.8250123959455696,0.7929554556708617,1.0,1.3033369883876853,0.2729871550964778,1.0,1.0,1.0,1.0,1.0,300,0.5,10,5,1,rf,200,5,5.0,0.5,0.5793680581076307,1.0463303904247407,0.7371670696989868,0.923848877944419,1.055176692321095,1.1827310727638511,1.402733122948145,1.0873200181173683,1.0874112170452797,1.1032498070094043,1.1048715931584292,1.116242255498154,,,,,,
DGP5,250,5,CF,-0.20347421566362522,0.25016045243056423,-0.20486456092021654,0.2605558707268305,0.21263123157302027,0.43271981910003837,-0.209239155121013,-0.023974263946875296,-0.41367432775930213,-0.02820202853875975,0.08355836871730882,-0.11705418195267847,0.05880921858168586,1.0775760859098005,1.156684902918967,1.1095443650756416,0.62828270768209,0.03196827916584111,-0.5284021952368769,-0.0791088170091665,0.48126165739355153,0.560370474402718,0.916,0.938768250052441,0.1747005146822561,1.0,0.99,0.93,0.91,0.75,300,0.5,10,5,1,rf,200,5,,,0.6986253950844751,2.3612131469474384,0.6796370928256458,0.8293676655584877,0.9206699439298903,0.9754235214901597,1.0696738624233697,1.1156422412020877,1.0851485992667764,1.1262985184245553,1.0982111217573312,1.073794410177885,True,True,0.5,,,
DGP5,250,5,DML-CF,-0.23399834399337593,0.19272294252135858,-0.16407839191741813,0.20393395772892348,0.17485934225958424,0.3285246759955256,-0.22501034605510428,-0.30416963739335223,-0.4272752262043676,-0.02390827416435981,0.2615867788864482,-0.1138337115972351,0.06336358642578543,1.073650914521147,1.1387203205749352,1.1215992978606772,0.7879750536224815,0.04794838333953022,-0.35074526695245367,-0.06506940605378819,0.3336242442381957,0.3986936502919839,0.938,0.8870933346459283,0.21742050579475444,1.0,1.0,1.0,0.94,0.75,300,0.5,10,5,1,rf,200,5,,,0.6577447126525313,2.2559734533702387,0.8142525974603221,0.8829518130902533,0.9283238733644121,0.9766113802499935,1.0765632670765637,1.1288327693148135,1.0919592767599648,1.0965149282448272,1.0979572164052371,1.0838307001037928,,,,5.0,True,0.5
DGP5,250,6,ORF,-0.11329091716366865,0.3633668089886429,-0.20218730342029026,0.37989084326745665,0.3137094757476292,0.6212080974807347,-0.1399426502783898,0.14194979932587265,0.5562028389237652,-0.07068126399309743,0.5396031437153798,-0.03310204560918473,0.01975486440794247,1.082242065066728,1.1095024085469158,1.4549169199355387,0.3833688386341517,0.3726748548688108,-0.7261335699127641,-0.02726034348018791,1.071548081301387,1.0988084247815748,1.0,1.463205772924436,0.35715084349322296,1.0,1.0,1.0,1.0,1.0,300,0.5,10,5,1,rf,200,5,5.0,0.5,0.6939735907969913,1.4189881953425856,0.4765515250579541,0.7200003737107831,0.886774049886259,1.0612645283933937,1.3435678966787947,1.1122194690044456,1.090660583359841,1.109920279724876,1.1020636197907057,1.0842309389487677,,,,,,
DGP5,250,6,CF,0.32652722578221033,0.24692932296322004,-0.13871546033673304,0.2529321273569669,0.22749615875425225,0.35340258823712273,0.3789212830439718,-0.1496944994548291,0.5722351509503109,0.055070761946886704,-0.03318731743593484,-0.04432514014023825,0.02132490610309079,1.1138689553014438,1.0494113682597164,1.3253871871856961,0.6874209168585383,0.21151823188425234,-0.361990451401178,0.06445758704172744,0.6379662703271578,0.5735086832854304,0.852,0.8096463435667797,0.24661188994258912,0.75,0.65,0.86,1.0,1.0,300,0.5,10,5,1,rf,200,5,,,1.1658023294511424,2.580907991448458,0.7049833490026747,0.7926746876371932,0.9017539398763332,1.114324148928449,1.2917814637003207,1.0533367519330352,1.0917630377450798,1.1574962659489396,1.0673778266597511,1.1291210085418297,True,True,0.5,,,
DGP5,250,6,DML-CF,-0.004552050208200833,0.18301543733076325,-0.14938798806680972,0.19247829119079135,0.1647965211415382,0.3067969407489221,-0.047444919974012845,-0.035402588969165705,0.5539085608785352,-0.0735075749109555,0.46407540472135833,-0.08327865794719502,0.04301140202928136,1.104919305204071,1.1098287260482642,1.1524562078599316,0.8017974464935637,0.04753690265586075,-0.30803127955470055,-0.004909420844193324,0.350658761366368,0.3555681822105613,0.922,0.6616860821926063,0.2227908341878478,0.96,0.97,0.93,0.93,0.82,300,0.5,10,5,1,rf,200,5,,,0.7765211889974672,2.3112398947098223,0.8166575149701566,0.8779420930668465,0.935456813790815,1.0047082065381756,1.117390322128594,1.1064527888424236,1.0981359326172087,1.0912363746895712,1.1063059898318115,1.096963804847621,,,,5.0,True,0.5
DGP5,250,7,ORF,-0.4778230952923811,0.3041640210559243,-0.14115650937406451,0.31948307094664696,0.2579400581200947,0.5344540219727644,-0.3663865752915997,-0.038426724148742986,-0.22996149977908903,0.4890292044318989,0.48498358056531216,-0.05426679304100834,0.02850819538777971,1.052823485793804,1.1466658264145624,1.398073256990433,0.5092195335762046,0.34524977119662914,-0.6374462928383577,-0.09384234062075847,0.8888537234142284,0.9826960640349869,1.0,1.1978249891471133,0.3653871648021947,1.0,1.0,1.0,1.0,1.0,300,0.5,10,5,1,rf,200,5,5.0,0.5,0.7601907161957808,1.4627156894947555,0.5962528906061835,0.8207392625009895,0.9628320272024645,1.1013919349779382,1.3120962286707378,1.1349486367751196,1.1217652175482302,1.0994072935782677,1.0813024212102185,1.0616713217167995,,,,,,
DGP5,250,7,CF,-0.37734208536834146,0.26698351630634115,0.20377577588692197,0.2751588751267155,0.22949850886061568,0.44071290986033385,-0.28570814269269673,-0.07229212796756362,-0.5607810125968975,0.047849588590751724,0.16179486820707778,0.014628969375847345,-0.0059610465196617,1.0840679772800108,1.1429827592836153,1.563461610662686,1.0422091751059805,0.47939363338267516,-0.10077358417763471,-0.05891478200360445,0.5212524355567054,0.5801672175603099,0.894,0.9669946114242282,0.21218875772792709,0.89,0.91,0.74,0.93,1.0,300,0.5,10,5,1,rf,200,5,,,0.8569742802780345,2.7188024349757325,1.0764020501155036,1.2198382470649203,1.302238774388264,1.4000682424031814,1.5194264562913762,1.131905033099731,1.105559094651174,1.114148083780105,1.072719274736434,1.0747634045611918,True,True,0.5,,,
DGP5,250,7,DML-CF,-0.061595574382297534,0.1636944974749887,-0.1369763302190795,0.17591579650671815,0.14775991244602413,0.2817267022541538,-0.053431146341491986,-0.2617854238725206,-0.297757542757852,0.32993486232172226,0.4298449768820431,0.20108491485821378,-0.09386657659409023,1.0977953709765758,1.109684035081409,1.1114430613431758,0.799373451828226,0.013647690366600074,-0.31031058325318306,-0.011888664104833246,0.3120696095149499,0.32395827361978313,0.964,0.6929590974869175,0.23092555579037968,1.0,1.0,0.96,0.97,0.89,300,0.5,10,5,1,rf,200,5,,,0.6505175863422844,2.017652444122111,0.8326995760595446,0.9140188152073214,0.9637086142155254,1.0159651176245068,1.0878211166263398,1.1057338065406939,1.097696178608698,1.0990211000097672,1.1015962283970808,1.0950475772723955,,,,5.0,True,0.5
DGP5,250,8,ORF,0.3079854559418237,0.2591072949569096,0.12729128318438424,0.2721965449320454,0.2233941273381318,0.44929877781986843,0.24341848376194825,-0.5973464106530693,-0.19343276503481438,-0.339202524054387,-0.3491984246177336,0.021775823728869104,-0.008467569133228325,1.1298818936176738,1.0752049874616387,1.6426959050906669,0.7824919320192424,0.5128140114729931,-0.29271305544239634,0.05467690615603504,0.8602039730714245,0.8055270669153894,1.0,1.4633070343064702,0.23492124237754736,1.0,1.0,1.0,1.0,1.0,300,0.5,10,5,1,rf,200,5,5.0,0.5,0.5491693924998139,1.1302726803895589,0.8634952962073428,1.0878154274864238,1.2323604522304366,1.3775506398433561,1.5743294909829981,1.0789340550146218,1.0803871138638956,1.1061395028604695,1.1060164673226371,1.1276177517670114,,,,,,
DGP5,250,8,CF,0.845071988287953,0.2692603252211323,0.2446644971859937,0.2732935901504467,0.251166066628025,0.36814566996647974,0.6102277776475405,-0.11792674802894726,0.06206321243164775,-0.07891992083633881,-0.025533710093667117,0.002675624176837421,-0.007494732114755959,1.169940109591512,1.0320141823063504,1.547521162857875,1.0075991627022602,0.37758105326636304,-0.024415019604090205,0.13792592728516162,0.5399220001556149,0.40199607287045325,0.914,0.9120761460114015,0.20709931970039425,1.0,1.0,0.83,0.84,0.9,300,0.5,10,5,1,rf,200,5,,,0.6461612097521775,2.3166068463127885,1.0805128565664939,1.2791445937434995,1.3757791368850807,1.460452269653134,1.526528519910395,1.0407487288822102,1.0516678058771958,1.106423953541929,1.1374601181155823,1.1627942844117185,True,True,0.5,,,
DGP5,250,8,DML-CF,0.461940407761631,0.18072064351666028,0.16165346621004645,0.1890749491250186,0.16544653101583737,0.28585236892969773,0.3697449767783249,-0.2871494398489496,0.059529947399604544,-0.43506067163205575,-0.3663078043477036,-0.003300221594557784,0.004850049696954684,1.1495376472060506,1.0647570272084799,1.4398412496381703,1.0651400105203253,0.2903036024321197,0.00038298331184538625,0.0847806199975707,0.37470123911784503,0.28992061912027434,0.96,0.7976329040905304,0.20511054604770312,1.0,0.99,0.95,0.92,0.94,300,0.5,10,5,1,rf,200,5,,,0.5629253678390711,2.138852041472163,1.1033668235386183,1.20119735111877,1.2590872926451901,1.3297298094159828,1.413980945160307,1.0658911442974393,1.0838878547175235,1.0921179322882444,1.1173578198723244,1.1398401396531044,,,,5.0,True,0.5
DGP5,250,9,ORF,0.1750388441553766,0.3206063370891945,-0.10625371401884603,0.3387002879712433,0.2713460176644818,0.561089301146622,0.14373929273413943,0.456700739584874,-0.5173773255241709,0.2930860514392499,0.2672478350086891,-0.07289243122923317,0.029981254542635116,1.1257843575011226,1.0798517951216304,1.5508597905325134,0.40252813863767833,0.42507543303139084,-0.6773236564839521,0.04593256237949217,1.1483316518948352,1.102399089515343,1.0,1.8542757937310488,0.25066532556296,1.0,1.0,1.0,1.0,1.0,300,0.5,10,5,1,rf,200,5,5.0,0.5,0.5707637968470712,1.0983005530047267,0.5263374033578089,0.8226924059077281,0.9995232709016529,1.1704956169327239,1.4487776236344916,1.083792915755644,1.0979407047285397,1.099879025992802,1.104941470049178,1.1125407743024722,,,,,,
DGP5,250,9,CF,0.4197168569406325,0.3558390956757639,0.27996946941919193,0.360964251978408,0.3116340684396349,0.5218335830235947,0.4719667576125274,0.01860734739835246,-0.6274254094630849,0.000686911355830433,-0.008807397870503164,0.038183891776977785,-0.02243710842361188,1.176716902426521,1.0468792895583516,1.7131892745796788,0.9316759101040398,0.5364723721531579,-0.1152033794543118,0.1298376128681693,0.781513364475639,0.6516757516074697,0.828,1.057792660087182,0.17859108787545483,0.95,0.94,0.86,0.77,0.62,300,0.5,10,5,1,rf,200,5,,,0.9338235718072324,2.623134592467373,0.9825826868844927,1.257318481337655,1.4437094129619172,1.5450268586453606,1.6703047980951693,1.0576654876192655,1.1213960279604855,1.0757029629443087,1.0922715731628043,1.1520588391417712,True,True,0.5,,,
DGP5,250,9,DML-CF,0.1804123696494786,0.1806096501530514,-0.11732997598076618,0.19343223939578766,0.15219769975626085,0.3185649614781003,0.15334133235726816,0.3398226499231238,-0.3702937163786547,0.49598267336361324,0.13136834933554975,0.1455170507207163,-0.0720967967781293,1.1260986948381633,1.0820057064105206,1.1981357001164576,0.6859832958167393,0.07203700527829437,-0.3960224105937813,0.04409298842764264,0.5121524042997183,0.46805941587207567,0.984,0.9233766967454853,0.22309714363576275,1.0,0.98,0.99,1.0,0.95,300,0.5,10,5,1,rf,200,5,,,0.6596781071552241,1.7281191397401057,0.7518265366322168,0.906147815763348,0.9903253935174604,1.085877547526467,1.1782677174853127,1.0850350660899462,1.0911754168001273,1.1075065940102187,1.0996744813669437,1.1157033325614,,,,5.0,True,0.5
DGP5,250,10,ORF,0.23554107016428066,0.4070919794503359,0.19223296791553457,0.42362057564782984,0.35130031136091655,0.6909740560285708,0.20950543411472655,0.20740753647428417,-0.37468025032866215,0.5303630437312635,-0.31597324013410255,0.0060521141940618195,-0.0081388866734943,1.118416993618163,1.0751144310105551,1.9381628033283493,0.6255676586468434,0.8197458097101864,-0.44954677236371177,0.043302562607607786,1.3125951446815058,1.269292582073898,1.0,1.6250156890654628,0.4306216508785599,1.0,1.0,1.0,1.0,1.0,300,0.5,10,5,1,rf,200,5,5.0,0.5,0.7416780579495893,1.4361295730939596,0.7449156948984608,1.0624277642208713,1.2980961077439381,1.5312723204484189,1.8235478430946201,1.0825455519298286,1.0925145694635867,1.0986749093115105,1.1009132213709356,1.124446638752774,,,,,,
