dgp,n,rep,method,spearman,gates_rmse,bias,rmse,mae,abs_err_p90,clan_diff_x1,clan_diff_x2,clan_diff_x3,clan_diff_x4,clan_diff_x5,clan_diff_sin_pi_x2,clan_diff_abs_x2_m05,top10_true,bot10_true,top10_est,bot10_est,top10_err,bot10_err,topbot_gap_true,topbot_gap_est,topbot_gap_err,pointwise_cover_rate,pointwise_ci_len,pointwise_se_cv,pointwise_cover_q1,pointwise_cover_q2,pointwise_cover_q3,pointwise_cover_q4,pointwise_cover_q5,main_n_estimators,main_subsample,main_min_leaf,main_cv,n_jobs,nuisance_type,nuis_n_estimators,nuis_min_leaf,orf_global_res_cv,orf_subsample_ratio,z_sd,z_p975,gates_hat_q1,gates_hat_q2,gates_hat_q3,gates_hat_q4,gates_hat_q5,gates_true_q1,gates_true_q2,gates_true_q3,gates_true_q4,gates_true_q5,cf_honest,cf_inference,cf_max_samples,dml_cv,dml_inference,dml_max_samples
DGP0,250,0,ORF,0.4648317473269893,0.1945785178503241,0.1516221439604796,0.4155637533105027,0.3163496652894476,0.7140621442776472,0.5946126267193136,0.2597566349067116,-0.3930487156725029,0.231079340504397,0.1616250419762953,-0.0542905752738746,0.0232769605349665,2.4480716798409805,1.7819377560012524,2.869642022205318,1.7385525164989637,0.4215703423643373,-0.0433852395022886,0.6661339238397281,1.131089505706354,0.464955581866626,0.892,1.476901564561049,0.381032086770195,0.53,0.95,1.0,1.0,0.98,300,0.5,10,5,1,rf,200.0,5.0,5.0,0.5,1.1613465479227536,3.2715463589273885,1.84862094122192,2.123747525567645,2.313708485023608,2.470995265570549,2.758268824502454,1.8591505651006437,2.0357413772182493,2.1742776161382524,2.2885881470805503,2.399472616546083,,,,,,
DGP0,250,0,CF,0.5060683172927536,0.4497120511144495,0.436742044625407,0.5661219070170526,0.4613042791931584,0.935806854061318,0.5842066876962696,0.0509648304613156,-0.1216742532547953,-0.0021204302581107,-0.0904778576883645,0.0417422180225236,-0.0196486741168074,2.5425380271113296,1.7699886785858343,2.936290228245513,2.196108331327913,0.3937522011341836,0.4261196527420785,0.7725493485254953,0.7401818969176004,-0.0323674516078948,0.624,1.107356749976244,0.2140842347724015,0.11,0.32,0.74,0.95,1.0,300,0.5,10,5,1,rf,200.0,5.0,,,1.3726592541704916,4.828522277652857,2.264740190683668,2.5466784319414795,2.609438237713265,2.663819024036266,2.8562646608361373,1.8614547023909127,2.111464518074253,1.968838950188413,2.328068543320493,2.487403608109706,True,True,0.5,,,
DGP0,250,0,DML-CF,0.6347962031848127,0.0604123605637942,0.0188453080457427,0.3247218325519834,0.2638524964312818,0.5232974548648005,0.5629446514413579,0.313691419970982,-0.3495966337962022,0.0346873682035194,-0.0370741304426736,0.1614868118176994,-0.0887154554627826,2.580117902996158,1.7259461668928524,2.543998316132568,1.815338755959026,-0.0361195868635899,0.0893925890661735,0.8541717361033054,0.7286595601735419,-0.1255121759297635,0.778,0.8439430522867261,0.1978158523178611,0.47,0.84,0.98,0.9,0.7,300,0.5,10,5,1,rf,200.0,5.0,,,1.623199397241006,3.662891151861143,1.874811246859639,2.032392915926508,2.160245686626338,2.2941643704403383,2.489842642459669,1.784528890401598,2.0049588419040187,2.0954627930962726,2.363319443021234,2.5089603536606555,,,,5.0,True,0.5
DGP0,250,1,ORF,0.4812515570062279,0.1699585507798293,-0.0129841812458157,0.4061755484764166,0.333711639416228,0.6587646779150622,0.5997808834974662,-0.1029474225747817,-0.1786168442443455,0.1719236308742412,0.441238446200788,-0.0006970815702603,-0.0011886790334617,2.4542216090114963,1.806476467018528,2.8009518956792165,1.4736318450663086,0.3467302866677202,-0.332844621952219,0.6477451419929687,1.327320050612908,0.6795749086199392,0.978,2.031591080092974,0.2876387198181367,0.9,1.0,1.0,1.0,0.99,300,0.5,10,5,1,rf,200.0,5.0,5.0,0.5,0.8366103648506671,1.8389782718882184,1.594543009436809,1.9126175322426369,2.15286178994587,2.3570726224935807,2.675214461735803,1.8535189950943864,2.046822954510493,2.145934521463376,2.2583510539939318,2.452602797021592,,,,,,
DGP0,250,1,CF,0.2726241050393987,0.2360754676264494,0.1955809380762958,0.457560478318089,0.368089284482624,0.763075369245451,0.3469819114916211,-0.0133586807645625,-0.5664669074728319,-0.0231762610225518,0.207211889173483,0.0089404891315563,-0.0063428498160774,2.209416771330267,1.8987142834524675,2.672548315486427,1.930218604264848,0.4631315441561603,0.0315043208123804,0.3107024878777995,0.7423297112215794,0.4316272233437799,0.714,0.97832044141818,0.2375377245426158,0.26,0.59,0.85,0.96,0.91,300,0.5,10,5,1,rf,200.0,5.0,,,1.8903554804653795,5.259429855984573,1.9967173259656537,2.206936887868595,2.360689429595221,2.5262405732617363,2.644550795774052,1.8974368333379932,2.190872357303368,2.078001848847137,2.337560048634109,2.253359233961171,True,True,0.5,,,
DGP0,250,1,DML-CF,0.4983929055716222,0.0905575410514103,-0.0734872179103923,0.3674975571534918,0.2981792695214577,0.6030726415609878,0.415015786944256,-0.3973578980846163,-0.3210305656268969,0.1409739971949454,0.241234250871078,0.1420403723801415,-0.0683281279153608,2.38910349264694,1.7235977229219674,2.3433517065873137,1.7619356052347204,-0.0457517860596263,0.0383378823127529,0.6655057697249727,0.5814161013525934,-0.0840896683723793,0.804,1.041497976665422,0.2175923135584463,0.72,0.97,0.99,0.95,0.39,300,0.5,10,5,1,rf,200.0,5.0,,,1.499708682464404,3.607761902775917,1.8176198815027385,1.988728844871548,2.0887113477968757,2.190059860603657,2.3046742977569976,1.8169953559494425,2.032187183607184,2.186902708611365,2.347093558641947,2.3740515152738406,,,,5.0,True,0.5
DGP0,250,2,ORF,0.3101583286333145,0.2975644278820403,0.1776097839889726,0.4870540864230161,0.3942162444351652,0.8216952802630728,0.4085154501458829,0.0103535655122406,-0.3144799656819856,0.5935553983531119,0.2339959213811604,-0.0626207381989116,0.0288929053675031,2.4480775244034008,1.8391001094504875,2.97449248570722,1.6638820665389755,0.5264149613038192,-0.1752180429115117,0.6089774149529132,1.3106104191682442,0.7016330042153309,0.952,2.0735584125991613,0.2713548821920095,0.76,1.0,1.0,1.0,1.0,300,0.5,10,5,1,rf,200.0,5.0,5.0,0.5,0.8954917154926536,2.2113101673950686,1.7903644179281242,2.133251024523624,2.331497737765988,2.545810979996548,2.844355081814358,1.970364475471444,2.042563664798962,2.212443299540912,2.215599694854045,2.316259187418416,,,,,,
DGP0,250,2,CF,0.537547059089366,0.362548842400061,0.3493425036239306,0.4958105026635693,0.3926943593303502,0.8783640577789987,0.6660053894437001,-0.0192927136161843,-0.3821067624334708,0.0509001129359512,0.0051487273856996,-0.0444657299725952,0.0164042133655579,2.5363147280904066,1.7584535869036837,2.93107956608179,2.144363989544403,0.3947648379913833,0.3859104026407196,0.7778611411867231,0.7867155765373868,0.0088544353506636,0.636,0.8900494827546572,0.242274151803889,0.13,0.48,0.73,0.85,0.99,300,0.5,10,5,1,rf,200.0,5.0,,,1.8816245145701989,6.559167396637907,2.1859446813848407,2.353403649228445,2.488961584467945,2.594443124252124,2.881189800870077,1.8076327287742056,1.9337221772926017,2.31230392013115,2.274399107640511,2.429172388245311,True,True,0.5,,,
DGP0,250,2,DML-CF,0.3779589838359353,0.1400829388325154,0.127680536097608,0.4056838321228125,0.3231835087363424,0.6740515436962071,0.4591626547284529,-0.0705755918265321,-0.0122789628735556,0.3952194896942275,0.3796721791842743,0.0058411884722054,-0.0053800078089873,2.414583477197663,1.7972338086027135,2.514747709455349,2.0814808857484497,0.1001642322576858,0.2842470771457361,0.6173496685949496,0.4332668237068993,-0.1840828448880502,0.618,0.7362792206658292,0.2683412888701715,0.12,0.72,0.94,0.96,0.35,300,0.5,10,5,1,rf,200.0,5.0,,,2.234076576559886,5.077302399108721,2.107816901917932,2.1979488293778693,2.274983214068913,2.3423638895908123,2.4725201676162927,1.87562691132278,2.077034638234588,2.2127997652138327,2.2511382527891404,2.3406307545234384,,,,5.0,True,0.5
DGP0,250,3,ORF,0.5495909663638655,0.3389624291643565,0.19300621712124,0.4912938817569682,0.3805292007151619,0.8339520160085337,0.6286710432270699,0.210095277793436,-0.4747709947516819,-0.0382412506836905,-0.0216406000914737,-0.0180395182692265,0.0032360239481653,2.5244339266308504,1.7613714757629706,3.231612112466457,1.447630741948451,0.7071781858356068,-0.3137407338145195,0.7630624508678798,1.783981370518006,1.0209189196501265,0.952,2.228024039693577,0.4114154041861239,0.76,1.0,1.0,1.0,1.0,300,0.5,10,5,1,rf,200.0,5.0,5.0,0.5,0.8476495685621622,2.327533148033804,1.619101974600758,2.0431887639073967,2.3399354186374715,2.645134052070131,3.074901198474223,1.865248540600812,1.9755185693092523,2.101242655196002,2.3393404914190574,2.475880065558655,,,,,,
