dgp,n,rep,method,spearman,gates_rmse,bias,rmse,mae,abs_err_p90,clan_diff_x1,clan_diff_x2,clan_diff_x3,clan_diff_x4,clan_diff_x5,clan_diff_sin_pi_x2,clan_diff_abs_x2_m05,top10_true,bot10_true,top10_est,bot10_est,top10_err,bot10_err,topbot_gap_true,topbot_gap_est,topbot_gap_err,pointwise_cover_rate,pointwise_ci_len,pointwise_se_cv,pointwise_cover_q1,pointwise_cover_q2,pointwise_cover_q3,pointwise_cover_q4,pointwise_cover_q5,main_n_estimators,main_subsample,main_min_leaf,main_cv,n_jobs,nuisance_type,nuis_n_estimators,nuis_min_leaf,orf_global_res_cv,orf_subsample_ratio,z_sd,z_p975,gates_hat_q1,gates_hat_q2,gates_hat_q3,gates_hat_q4,gates_hat_q5,gates_true_q1,gates_true_q2,gates_true_q3,gates_true_q4,gates_true_q5,cf_honest,cf_inference,cf_max_samples,dml_cv,dml_inference,dml_max_samples
DGP7,250,0,ORF,-0.05338946155784622,0.8009346569637444,0.162527737804038,0.942253695812312,0.7545024299481987,1.5849928743089692,-0.00816635857029474,-0.08078266359129,0.038322701497444434,-0.22304916827364857,0.003470832581210448,-0.048281267906528536,0.022606939834312917,2.0844822827358467,2.086185250294725,3.6599052022408,0.8127859078209595,1.5754229195049532,-1.2733993424737653,-0.0017029675588782212,2.8471192944198402,2.8488222619787185,0.882,2.7962924225998407,0.6429800439916439,0.62,0.99,1.0,1.0,0.8,300,0.5,10,5,1,rf,200.0,5.0,5.0,0.5,1.3056991345784286,2.723897771541749,1.1332363381351285,1.8486087611727982,2.297664818503918,2.707476973077041,3.3840221271762463,2.14997688247874,2.098534496555933,2.162848159638502,2.05348153436985,2.0935292560019167,,,,,,
DGP7,250,0,CF,0.5984117696470785,0.19782791882057818,0.18685319589875493,0.3905970432408824,0.3043255644075013,0.6902737193327999,0.671049666861213,0.009364480474638448,0.25977241343803414,-0.06934184095361051,-0.10577462475352267,0.007748810134344919,-0.001511709016442403,2.478910397208107,1.7377651544739847,2.574681863870985,1.9772881627309657,0.09577146666287817,0.23952300825698103,0.7411452427341221,0.5973937011400192,-0.14375154159410286,0.718,0.901695450016077,0.20511697954785157,0.1,0.67,0.93,0.99,0.9,300,0.5,10,5,1,rf,200.0,5.0,,,1.6414197243481212,4.795913408991393,2.0082972630035694,2.171651743873066,2.3337822288875847,2.434466876297819,2.5444381964766767,1.7465594010191654,1.9076817515024638,2.162456303039185,2.3163149954694036,2.4253578780147236,True,True,0.5,,,
DGP7,250,0,DML-CF,0.2122392809571238,0.08729703676336888,0.06854664242848585,0.422622271198586,0.3442881984868553,0.6994459298900879,0.23146828523814278,-0.00045933723528474024,0.0339308075448429,0.0072234825850041595,0.00406597417019372,0.026288973456858544,-0.006014551774324861,2.1975900459576705,1.8927729488026825,2.250244665458278,2.1098285051068584,0.05265461950060768,0.21705555630417583,0.30481709715498795,0.1404161603514198,-0.16440093680356815,0.506,0.6082538532502816,0.26809110709261175,0.0,0.53,0.99,0.9,0.11,300,0.5,10,5,1,rf,200.0,5.0,,,3.042250489417785,7.537995054064792,2.1229436095082583,2.1576676956604723,2.182136861018466,2.20189726015081,2.236458114849363,1.967479432588676,2.051293182192041,2.1415503091002956,2.1728107138802524,2.2252366912836776,,,,5.0,True,0.5
DGP7,250,1,ORF,0.15031000924003696,0.8532832179503038,-0.2386226572140064,0.9832210981199656,0.7904950946705407,1.6749064477038211,0.24750747149806562,0.16777407112200743,0.1763811061835912,-0.052270531257745334,-0.16733001843147582,-0.05778455968364682,0.029829419021855763,2.3014389018336208,2.080399659508567,3.510893445638044,0.29294797782404847,1.2094545438044233,-1.7874516816845187,0.22103924232505356,3.217945467813996,2.9969062254889423,0.918,3.320740625148504,0.5972417965001948,0.79,1.0,1.0,1.0,0.8,300,0.5,10,5,1,rf,200.0,5.0,5.0,0.5,1.1317379272619663,2.540456068221261,0.5897942669846735,1.350657372148048,1.8552248961422566,2.394380548469494,3.1751999592304365,2.0809077236091658,2.004822654019389,2.122743958297683,2.079265357695119,2.2706306354235846,,,,,,
DGP7,250,1,CF,0.3043949455797823,0.28795040800790594,0.28150331480359003,0.4877084131532648,0.38324677790103395,0.7745969805434544,0.46041901008775077,-0.034240044892370036,0.511940286904129,-0.02734888980774547,-0.12057920301778896,-0.008970077266104881,0.0010864664804910995,2.30099177808932,1.8036852942506516,2.5807001881271945,2.056933914115731,0.2797084100378746,0.2532486198650794,0.49730648383866827,0.5237662740114635,0.026459790172795206,0.59,0.8359761812400446,0.24973063946303742,0.11,0.39,0.64,0.99,0.82,300,0.5,10,5,1,rf,200.0,5.0,,,2.0273769451124926,6.122990405352744,2.0995397165149727,2.3399766584416186,2.450659816941739,2.5121908085436293,2.5635199026209325,1.8145314694087307,2.1265646243590646,2.223214621436493,2.128079211610277,2.2659804022303764,True,True,0.5,,,
DGP7,250,1,DML-CF,0.12733490933963734,0.20251256293166928,-0.20014388151187298,0.4649241232799589,0.37995859327022574,0.7717519756044053,0.21382341069860056,0.16521745483832734,0.10254053292264886,0.022163748070735623,-0.0608789441778424,-0.07516846813139799,0.03247745493670379,2.3037138299544258,2.020690738514995,2.010327936735423,1.821734261666473,-0.29338589321900255,-0.19895647684852213,0.2830230914394307,0.1885936750689503,-0.09442941637048041,0.474,0.6381805763428189,0.25524226322940186,0.38,1.0,0.76,0.23,0.0,300,0.5,10,5,1,rf,200.0,5.0,,,2.949365665809886,7.671858560732979,1.8378115257198393,1.8782760466005646,1.9097891182676934,1.942410770756846,1.9893634601406327,2.077799843709593,2.081269184181099,2.0784304162141503,2.1044160986633047,2.216454786276795,,,,5.0,True,0.5
DGP7,250,2,ORF,0.1713319813279253,0.8340083015949358,0.1548743233181165,0.9736674005180551,0.771454418922899,1.6446748991004272,0.17402234045919363,0.0636265247917211,0.08364075707335611,-0.012572724303649474,0.258121359762131,0.020057954848440418,-0.018918789624452814,2.2209374097996095,1.9843867342163124,3.9274609448618047,0.6262895095049464,1.7065235350621952,-1.3580972247113658,0.23655067558329712,3.301171435356858,3.064620759773561,0.896,3.2490536689878726,0.6465962934876583,0.68,0.82,0.99,1.0,0.99,300,0.5,10,5,1,rf,200.0,5.0,5.0,0.5,1.2282017389980313,2.8996468649289473,0.9628245147532994,1.7628600231730767,2.2576245603994916,2.758656197779532,3.590776649530125,2.025380574819349,2.0643176682992967,2.078102454006283,2.1711087617930294,2.2194608701269836,,,,,,
DGP7,250,2,CF,0.6129988359953439,0.46461867993833655,0.4607440741218906,0.5678464723870394,0.4656020051219809,0.9232313768813235,0.6983902648089997,0.012656218125807084,0.19384120135919808,0.02297092851600374,-0.0714871486238951,-0.05771218719120885,0.030319612939570084,2.445027321888851,1.804363551753404,2.890462193376444,2.286664528078827,0.44543487148759286,0.4823009763254229,0.6406637701354472,0.6037976652976171,-0.03686610483783004,0.57,0.9942172455716809,0.3116593435307464,0.06,0.46,0.55,0.79,0.99,300,0.5,10,5,1,rf,200.0,5.0,,,1.6163567022503862,5.822407565985096,2.3069664242639796,2.387285973895965,2.554396514385538,2.7497184708826112,2.8637233162263005,1.8239204559778919,1.8294813986204568,2.0868526165735632,2.3535173242773477,2.4645985335956824,True,True,0.5,,,
DGP7,250,2,DML-CF,0.31837519350077403,0.17332428822990967,0.1529301188175774,0.43746242965162296,0.353075103925348,0.7099842507551617,0.22826498146272284,-0.3141709583060619,0.04845788021606656,-0.07631585221174286,-0.037376681983370186,0.14494641009920117,-0.07231368281964046,2.3641507213108586,1.8734184443686774,2.3575869169405568,2.1728107694633914,-0.006563804370301796,0.2993923250947139,0.49073227694218113,0.18477614747716542,-0.3059561294650157,0.6,0.7485709755786373,0.25111851965765003,0.03,0.55,0.99,1.0,0.43,300,0.5,10,5,1,rf,200.0,5.0,,,2.49017741711948,6.2910777901449775,2.190544267683841,2.2364531543346446,2.2641619513216327,2.2918304477444296,2.3400311020482794,1.9335417588531838,2.040411365128068,2.0707616469062686,2.2069024077423136,2.306753150415108,,,,5.0,True,0.5
DGP7,250,3,ORF,0.05124826899307597,0.8800507058398503,-0.31152941544754914,1.0080687900068697,0.8090199406905083,1.6754670593230465,0.09285759728810766,0.16434491948177588,-0.0008314061275894735,0.05293192107589678,-0.029712432478154527,0.00046445063391231667,0.005356961277553196,2.1869425604517976,2.099678386814805,3.358826299009621,0.25158583920474326,1.1718837385578236,-1.8480925476100618,0.08726417363699257,3.1072404598048777,3.019976286167885,0.894,3.1685167067927265,0.5970434801545297,0.96,1.0,1.0,0.88,0.63,300,0.5,10,5,1,rf,200.0,5.0,5.0,0.5,1.1976519543791966,2.8826448836299985,0.5428356893078342,1.3165740109903774,1.8206276947970292,2.2811121293812873,3.039573727330668,2.096200767787133,2.124250127059744,2.0482689258149596,2.100127692673952,2.189522815709153,,,,,,
