dgp,n,method,bias_mean,bias_sd,rmse_mean,rmse_sd,rmse_p90,mae_mean,spearman_mean,gates_rmse_mean,clan_diff_x1_mean,clan_diff_x2_mean,clan_diff_sin_pi_x2_mean,clan_diff_abs_x2_m05_mean,pointwise_cover_rate_mean,pointwise_ci_len_mean,pointwise_se_cv_mean,pointwise_cover_q1_mean,pointwise_cover_q2_mean,pointwise_cover_q3_mean,pointwise_cover_q4_mean,pointwise_cover_q5_mean
DGP2,250,CF,-0.0027595122131367483,0.15062821639603963,0.3910720592294055,0.042046493042641,0.438907902814424,0.3198635894573124,0.5031185547985237,0.17393694294283224,0.5462563262497965,0.0012897210934577686,0.010216652209200323,-0.007322463643952103,0.7544000000000001,0.9617807172510499,0.21171032686162478,0.5563333333333333,0.8306666666666669,0.875,0.8253333333333333,0.6846666666666668
DGP2,250,DML-CF,-0.03115844181060787,0.14824990145923883,0.39138869461399556,0.056191764097853224,0.4510988261832309,0.318997171083877,0.46754806859227427,0.1564993072141717,0.4048438581896919,0.048116835638854875,0.15277726912096817,-0.07512758248627577,0.6884666666666667,0.8474281771007607,0.23798147678926726,0.4693333333333333,0.8753333333333334,0.9073333333333333,0.7693333333333334,0.42100000000000004
DGP2,250,ORF,-0.01682895516980907,0.16319523295362406,0.46564654908574526,0.08519834628620862,0.6023312607792416,0.3785895297291995,0.3947634414537658,0.2650414059525935,0.4701944191742534,-0.03998856012088728,-0.010556548068644474,0.0031554652196310947,0.8933999999999999,1.7479818881624813,0.36137121371375724,0.7503333333333334,0.9750000000000001,0.9996666666666667,0.9466666666666667,0.7953333333333333
DGP2,500,CF,-0.012209896023915732,0.08651126778513898,0.3632053069275132,0.03342031269000072,0.39654555536517994,0.2997018202749188,0.5591330738940623,0.12709200818845906,0.601985409429579,0.001141705374309826,0.013831266127321547,-0.010662657615986325,0.7102,0.8229950640748045,0.24635280532444562,0.5036666666666667,0.7753333333333334,0.8199999999999998,0.8046666666666665,0.6473333333333333
DGP2,500,DML-CF,-0.010151977848407628,0.07455163957591658,0.33287151934744086,0.03278830749563055,0.37962018555469296,0.27049180953296087,0.6771125356501425,0.13933815493123866,0.537521845768127,0.013542054320562725,0.23076423678162267,-0.11062193369819627,0.6822,0.7157397790447347,0.28693107679270213,0.4006666666666667,0.8566666666666669,0.9086666666666666,0.825,0.42
DGP2,500,ORF,-0.03423541987434034,0.09733698126715556,0.38130877163220606,0.037293159468387446,0.4299583609092042,0.3124350033187228,0.5324253137012548,0.14249797083919416,0.5802722396685671,-0.019276559010200624,0.03210257098572964,-0.018102017533813193,0.8736666666666666,1.307927877574394,0.3312819355229956,0.6923333333333335,0.9786666666666668,0.9976666666666667,0.9366666666666668,0.7629999999999999
DGP2,1000,CF,-0.024828684446688256,0.06499844800329357,0.3352397924319631,0.018889813366417037,0.35971758336264714,0.2777086442615096,0.6295311901247604,0.0996040547721284,0.6263890746785269,-0.012332829599653185,0.0859691113250911,-0.04429040268320155,0.6701333333333334,0.723249978997388,0.273482888235362,0.49533333333333324,0.7883333333333333,0.7653333333333333,0.7046666666666666,0.597
DGP2,1000,DML-CF,-0.02209668484960285,0.06405479424616435,0.2912590887771929,0.030023605683924443,0.3274293498584908,0.23633350243491277,0.7751315325261301,0.1297531206872369,0.5380704393799493,-0.020599805227273265,0.36795445184146097,-0.17270764626786908,0.7072666666666667,0.666249199407126,0.3031555913299458,0.5023333333333333,0.8736666666666667,0.9043333333333335,0.7933333333333333,0.4626666666666666
DGP2,1000,ORF,-0.066822441990239,0.0696143350043588,0.33632617863080455,0.032362216970980275,0.3716983087610804,0.2797559363670227,0.6458253865015461,0.11019187806822332,0.6086812786774088,-0.005858484809164527,0.13142857981302733,-0.06592193089530642,0.8592666666666666,1.0869545841612285,0.30216443441967766,0.7206666666666668,0.9670000000000001,0.9943333333333333,0.9003333333333333,0.7140000000000002
