dgp,n,base,rival,metric,delta_mean,delta_sd,delta_p90,t_stat,p_value,n_rep_used
DGP2,250,ORF,CF,rmse,0.07457448985633981,0.09099377093577285,0.17639077402465003,4.488893018576886,0.00010469932419968455,30
DGP2,250,ORF,CF,bias,-0.01406944295667232,0.12531174746200177,0.09562925068347305,-0.6149584085273683,0.5433779024553738,30
DGP2,250,ORF,CF,mae,0.05872594027188701,0.07514824978423679,0.14638229452639553,4.280275627172448,0.0001860259789280807,30
DGP2,250,ORF,CF,spearman,-0.10835511334475788,0.18723166764616417,0.08029535579936548,-3.16979176365141,0.003584196210372289,30
DGP2,250,ORF,CF,gates_rmse,0.09110446300976123,0.13185152396352237,0.25325380615699694,3.7845576584800336,0.0007157382227084063,30
DGP2,250,ORF,CF,pointwise_cover_rate,0.13899999999999998,0.07838851076968904,0.1962,9.712320689048866,1.2744194226022962e-10,30
DGP2,250,ORF,DML-CF,rmse,0.07425785447174975,0.08039867834625176,0.17661004505302577,5.058876937124352,2.153660221430514e-05,30
DGP2,250,ORF,DML-CF,bias,0.014329486640798804,0.11070713424529222,0.16416739624484264,0.7089500712071942,0.4840162800271204,30
DGP2,250,ORF,DML-CF,mae,0.05959235864532243,0.06358281234347832,0.14318870417290658,5.1334752084663,1.7503256908741525e-05,30
DGP2,250,ORF,DML-CF,spearman,-0.07278462713850854,0.18163265965304387,0.16959883839535364,-2.19485758781024,0.03633045744195971,30
DGP2,250,ORF,DML-CF,gates_rmse,0.10854209873842177,0.13772684988580167,0.2528357768874585,4.316584309252794,0.00016835870574954405,30
DGP2,250,ORF,DML-CF,pointwise_cover_rate,0.2049333333333333,0.08706198082829913,0.32960000000000006,12.89272405514885,1.554526539708442e-13,30
DGP2,500,ORF,CF,rmse,0.018103464704692897,0.04786383706553066,0.08558208193048063,2.0716425167048955,0.04729816283620665,30
DGP2,500,ORF,CF,bias,-0.022025523850424625,0.08617452508603139,0.08602979100571966,-1.3999353337545835,0.17214035426766694,30
DGP2,500,ORF,CF,mae,0.012733183043803987,0.039365138477497064,0.06823235904171557,1.7716822172289677,0.08695638130751177,30
DGP2,500,ORF,CF,spearman,-0.026707760192807548,0.13145992331498058,0.11718791835167346,-1.112768237585928,0.27494729701349335,30
DGP2,500,ORF,CF,gates_rmse,0.01540596265073512,0.08236053757097474,0.11716766910877471,1.0245432476224479,0.31404955155385317,30
DGP2,500,ORF,CF,pointwise_cover_rate,0.1634666666666667,0.08555205446386724,0.277,10.465485755380177,2.327638997151133e-11,30
DGP2,500,ORF,DML-CF,rmse,0.04843725228476516,0.04304514864083772,0.09448760891344553,6.163336993280785,1.0185193876289455e-06,30
DGP2,500,ORF,DML-CF,bias,-0.02408344202593272,0.06490198096144995,0.03821842531124526,-2.03245636952228,0.05135479023983398,30
DGP2,500,ORF,DML-CF,mae,0.041943193785761855,0.0365769894223937,0.08762586648137359,6.280788477415602,7.394236299084763e-07,30
DGP2,500,ORF,DML-CF,spearman,-0.14468722194888778,0.11550214552367237,-0.04075737582950331,-6.861210662785507,1.5474643278708502e-07,30
DGP2,500,ORF,DML-CF,gates_rmse,0.0031598159079554923,0.08541176613575416,0.09981954438509306,0.20263044878384767,0.8408388233038407,30
DGP2,500,ORF,DML-CF,pointwise_cover_rate,0.19146666666666673,0.06769899573101884,0.25660000000000005,15.49071905886566,1.4599492799288111e-15,30
DGP2,1000,ORF,CF,rmse,0.0010863861988413882,0.030977138514189245,0.041873896967298076,0.19208947495107095,0.8490108871646008,30
DGP2,1000,ORF,CF,bias,-0.04199375754355074,0.04345548570653895,0.0015052176343194187,-5.292986122933708,1.1236486687709397e-05,30
DGP2,1000,ORF,CF,mae,0.0020472921055130814,0.022940481738864846,0.026633213349633568,0.48880755023205047,0.6286543215809336,30
DGP2,1000,ORF,CF,spearman,0.01629419637678552,0.09508984970663309,0.11046683546734191,0.9385543188382833,0.3557114054169136,30
DGP2,1000,ORF,CF,gates_rmse,0.010587823296094916,0.04784733186293509,0.07473773114012539,1.2120194435841098,0.23528772088070707,30
DGP2,1000,ORF,CF,pointwise_cover_rate,0.18913333333333332,0.05976432642173488,0.26080000000000003,17.33351637091926,7.62907439214806e-17,30
DGP2,1000,ORF,DML-CF,rmse,0.04506708985361162,0.03206281605071849,0.0920910793351097,7.698719187637334,1.727142057136045e-08,30
DGP2,1000,ORF,DML-CF,bias,-0.04472575714063614,0.04384295588710215,0.013801290861590789,-5.587512427425282,4.9652499173245695e-06,30
DGP2,1000,ORF,DML-CF,mae,0.04342243393210997,0.028259555558142684,0.08497709151447687,8.416072403354352,2.8276008011731914e-09,30
DGP2,1000,ORF,DML-CF,spearman,-0.12930614602458407,0.07866601730739708,-0.04715474541898167,-9.003111562769046,6.759252481894416e-10,30
DGP2,1000,ORF,DML-CF,gates_rmse,-0.019561242619013583,0.04872322332805978,0.033168699054452036,-2.198978865401725,0.03600660034367904,30
DGP2,1000,ORF,DML-CF,pointwise_cover_rate,0.15200000000000005,0.0674787322816962,0.22619999999999998,12.337787911194667,4.602353277493013e-13,30
