dgp,n,method,bias_mean,bias_sd,rmse_mean,rmse_sd,rmse_p90,mae_mean,spearman_mean,gates_rmse_mean,clan_diff_x1_mean,clan_diff_x2_mean,clan_diff_sin_pi_x2_mean,clan_diff_abs_x2_m05_mean,pointwise_cover_rate_mean,pointwise_ci_len_mean,pointwise_se_cv_mean,pointwise_cover_q1_mean,pointwise_cover_q2_mean,pointwise_cover_q3_mean,pointwise_cover_q4_mean,pointwise_cover_q5_mean
DGP0,250,CF,0.1388487892095057,0.1680464548184361,0.4377956770673342,0.07692626608902076,0.5386048199047322,0.35145229321634214,0.37834870065174,0.2422142923947674,0.39877092426263594,0.019724780083871126,0.028372782237354663,-0.016354838297063308,0.7157333333333333,0.9694938682126604,0.23057076091121595,0.3316666666666667,0.7216666666666665,0.8673333333333332,0.9073333333333333,0.7506666666666665
DGP0,250,DML-CF,-0.04478049122387283,0.16140836151303026,0.4036077302463586,0.06201515907799924,0.4951453076504017,0.3272241657752571,0.47831123969854406,0.1890801067347294,0.37521728226207063,0.035386653898918694,0.17499410833253534,-0.08762098329605791,0.6304666666666666,0.7734574346403137,0.23388124051042627,0.4139999999999999,0.8439999999999999,0.8923333333333333,0.7196666666666666,0.2823333333333334
DGP0,250,ORF,-0.04405236502693197,0.1791896740012591,0.45788800216180253,0.07842145333952695,0.5699235048152422,0.3720439304339898,0.3586351721406886,0.2552340368865352,0.41852131838436757,0.06950134086976141,-0.006308098269108561,0.0004310679658685442,0.8808666666666666,1.6517373880333408,0.3198426692500495,0.7823333333333334,0.9683333333333333,0.9906666666666667,0.9296666666666665,0.7333333333333333
DGP0,500,CF,0.1153028450886322,0.11578891841220672,0.3872833818249207,0.04505084973662677,0.44741791653787705,0.30901088013426536,0.5615867361483123,0.17815322037724612,0.5884091439400588,0.02290801627503065,0.03513290187754585,-0.021774202612091516,0.7163333333333333,0.8546367694764778,0.23785405359380668,0.36166666666666664,0.7033333333333333,0.8153333333333334,0.9086666666666668,0.7926666666666667
DGP0,500,DML-CF,0.019404147641518227,0.11973560002333827,0.34309294439542815,0.04678309494117697,0.40362047600234946,0.276574692365953,0.6589073140292562,0.15475756968818147,0.45901787796557714,0.09612639019396695,0.3000240055175432,-0.14452734257808986,0.6915333333333333,0.7347294607552209,0.27113133522666005,0.38999999999999996,0.8190000000000001,0.9153333333333332,0.8193333333333332,0.514
DGP0,500,ORF,-0.0046979129220318435,0.1417768515446592,0.403266003114391,0.049134750354052896,0.475867372097762,0.32754246681284216,0.4709092404369617,0.1751649677058418,0.5176727214790217,0.04313199193389461,0.030746148639688504,-0.01830594036391715,0.8401333333333334,1.2796556164798918,0.3327442308861446,0.6609999999999999,0.9239999999999999,0.98,0.9076666666666665,0.728
DGP0,1000,CF,0.025788817990562186,0.07383252330174257,0.3337294955416839,0.02479045004021116,0.36563413885642554,0.2700454005294634,0.6441171812687251,0.10380234112476809,0.6336821779676148,0.0621201011547243,0.09631137679540265,-0.05173220080141704,0.7073333333333333,0.7431122791463025,0.26889729790737193,0.4663333333333333,0.746,0.8006666666666666,0.8279999999999998,0.6956666666666665
DGP0,1000,DML-CF,-0.005829169790156302,0.0675818279937246,0.27598487658241505,0.031193062847659665,0.31579920197304834,0.22221383211184859,0.8224741378965515,0.1364052883932146,0.5271848551681182,0.05126504256369805,0.42602365788813606,-0.19861296411331375,0.7352666666666664,0.6595269567797293,0.30517097248410496,0.5003333333333333,0.8893333333333332,0.9266666666666665,0.8356666666666669,0.5243333333333334
DGP0,1000,DML-CF_misspec,0.0031790911448047175,0.06886206304743318,0.33949222340045504,0.03343684420683145,0.3870338642164041,0.2714963793995153,0.6235212652850611,0.1158697935076716,0.45752115167027185,0.05299196479534326,,,0.6757333333333334,0.7015227464909523,0.28561310918877275,0.37633333333333335,0.8493333333333336,0.9386666666666666,0.7853333333333333,0.42900000000000005
DGP0,1000,ORF,-0.05337524396568224,0.07255306099694381,0.32556370809915786,0.024475637827892697,0.3513211578259201,0.26926128855528625,0.6697838695354782,0.10102406323378652,0.6439556456948091,0.04540703406883716,0.12311508319601912,-0.06122434311576692,0.8712666666666667,1.0852353688789604,0.30683998103766236,0.7366666666666666,0.9480000000000001,0.9936666666666666,0.9239999999999998,0.754
DGP0,1000,ORF_misspec,-0.1928943607221662,0.07704150642663127,0.38971144023281484,0.03948870394870407,0.4473962944815456,0.33306107504313315,0.6183607006428026,0.20707414281285633,0.6260404849913735,0.11117503855922255,,,0.8178,1.1453642462559719,0.2963302139791175,0.8513333333333332,0.9983333333333333,0.9403333333333332,0.7003333333333333,0.5986666666666667
