dgp,n,base,rival,metric,delta_mean,delta_sd,delta_p90,t_stat,p_value,n_rep_used
DGP0,250,ORF,CF,rmse,0.020092325094468268,0.08903266630737858,0.14649136858279183,1.2360653840213416,0.2263529312006909,30
DGP0,250,ORF,CF,bias,-0.18290115423643769,0.11821433264448301,-0.03660696353980963,-8.47436057269861,2.448089226749714e-09,30
DGP0,250,ORF,CF,mae,0.020591637217647625,0.07737916434035623,0.12015906640119556,1.4575634534458708,0.15570565736261344,30
DGP0,250,ORF,CF,spearman,-0.019713528511051463,0.27529142220217956,0.23018823748811654,-0.39222232814773944,0.6977617936662104,30
DGP0,250,ORF,CF,gates_rmse,0.013019744491767776,0.13739533767370932,0.2165078482164741,0.5190283652877842,0.6076795721630086,30
DGP0,250,ORF,CF,pointwise_cover_rate,0.16513333333333333,0.1172356110819026,0.3016,7.714998098956348,1.6564516169339827e-08,30
DGP0,250,ORF,DML-CF,rmse,0.05428027191544383,0.06167219162092597,0.1385168626511735,4.820735014306655,4.174359478476991e-05,30
DGP0,250,ORF,DML-CF,bias,0.0007281261969408704,0.09356573621236211,0.1137204046437909,0.04262363114097658,0.9662936821517405,30
DGP0,250,ORF,DML-CF,mae,0.04481976465873271,0.047422854871250975,0.10870276387498017,5.1765749220093635,1.5527230973240458e-05,30
DGP0,250,ORF,DML-CF,spearman,-0.11967606755785543,0.21086683758714714,0.10470863643454575,-3.108562851560733,0.004186599314809947,30
DGP0,250,ORF,DML-CF,gates_rmse,0.0661539301518058,0.08922601152114239,0.18197959102737643,4.060923400479403,0.0003389818954856993,30
DGP0,250,ORF,DML-CF,pointwise_cover_rate,0.2504,0.10517689532565995,0.37220000000000003,13.03991033150731,1.1721743039519667e-13,30
DGP0,500,ORF,CF,rmse,0.01598262128947038,0.06364022218750837,0.09577351294568785,1.3755517984384915,0.17949315774577387,30
DGP0,500,ORF,CF,bias,-0.12000075801066405,0.08782488013106429,-0.004724536879822082,-7.483884063613007,3.0072947377589335e-08,30
DGP0,500,ORF,CF,mae,0.01853158667857697,0.05287904930898216,0.08125125507915334,1.9195065310099506,0.06480752923239552,30
DGP0,500,ORF,CF,spearman,-0.09067749571135063,0.15132672719710594,0.037894289177156794,-3.282044803261597,0.002688561051373978,30
DGP0,500,ORF,CF,gates_rmse,-0.0029882526714043673,0.10759314724536072,0.14571438548247298,-0.15212245738297414,0.8801437695704852,30
DGP0,500,ORF,CF,pointwise_cover_rate,0.12379999999999998,0.08867974149558702,0.21919999999999998,7.646397190108395,1.9758700290223583e-08,30
DGP0,500,ORF,DML-CF,rmse,0.060173058718962794,0.04651863045329498,0.11397469250825505,7.084933776704589,8.546655063160799e-08,30
DGP0,500,ORF,DML-CF,bias,-0.02410206056355007,0.08189883665958617,0.08586120374645252,-1.6118961869853201,0.1178161923066338,30
DGP0,500,ORF,DML-CF,mae,0.050967774446889276,0.03728867452706034,0.09755201846130501,7.486509006947377,2.986884625038154e-08,30
DGP0,500,ORF,DML-CF,spearman,-0.18799807359229437,0.13657466647282784,-0.03128790755163028,-7.539523129240254,2.6035422045998786e-08,30
DGP0,500,ORF,DML-CF,gates_rmse,0.020407398017660287,0.07839762340377686,0.11410515699995238,1.4257565151803135,0.16461473080311367,30
DGP0,500,ORF,DML-CF,pointwise_cover_rate,0.1486,0.08927161189121194,0.25,9.11729611698431,5.143962524593562e-10,30
DGP0,1000,ORF,CF,rmse,-0.008165787442526,0.02720550085550618,0.020203433155150295,-1.644000603340737,0.11097532522934109,30
DGP0,1000,ORF,CF,bias,-0.07916406195624441,0.04901775158325382,-0.02050792378693164,-8.845763234065776,9.87543657619546e-10,30
DGP0,1000,ORF,CF,mae,-0.0007841119741771661,0.020934760450797795,0.020346358350863947,-0.20514962035325102,0.838888426993164,30
DGP0,1000,ORF,CF,spearman,0.025666688266753054,0.06316705799995184,0.08616563426253697,2.225562593110564,0.03397913198378387,30
DGP0,1000,ORF,CF,gates_rmse,-0.0027782778909815507,0.05679559820653489,0.05667510119514912,-0.267930177682922,0.7906496288888627,30
DGP0,1000,ORF,CF,pointwise_cover_rate,0.16393333333333332,0.049378156090021975,0.222,18.18415098975808,2.129651670172145e-17,30
DGP0,1000,ORF,DML-CF,rmse,0.04957883151674281,0.029348054983366633,0.08446400239112647,9.252894071467013,3.7275610610867533e-10,30
DGP0,1000,ORF,DML-CF,bias,-0.04754607417552594,0.04855282871742938,0.00034491490576843843,-5.363653989824261,9.234630451746928e-06,30
DGP0,1000,ORF,DML-CF,mae,0.04704745644343764,0.024664987092612042,0.07622271291900941,10.447584290458114,2.42159199046862e-11,30
DGP0,1000,ORF,DML-CF,spearman,-0.15269026836107347,0.06248243814750907,-0.07305477541910167,-13.384865695451639,6.102515700942584e-14,30
DGP0,1000,ORF,DML-CF,gates_rmse,-0.035381225159428056,0.06451128140389656,0.060242186926513785,-3.003985459637381,0.0054447615806692,30
DGP0,1000,ORF,DML-CF,pointwise_cover_rate,0.13599999999999998,0.05957087925465273,0.2014,12.504476810267088,3.3101847282117145e-13,30
